schema_version,character_id,first_name,last_name,display_name,short_name,sex,birth_year,nationality,religion,left2right,evil2good,species,height_cm,weight_kg,description,strength,stamina,speed,agility,coordination,dexterity,balance,recovery,resilience,metabolism,lifespan,intelligence,perception,focus,memory,creativity,learning,technical_aptitude,tactical_awareness,willpower,faith,courage,composure,discipline,determination,adaptability,patience,risk_assessment,charisma,empathy,conversation,deception,loyalty,aggression
1.0,CHR0011,Ingrid,Nilsen,Ingrid Nilsen,ING,F,1989,Norwegian,atheist,27,66,human,178,70,Endurance-oriented explorer with strong patience and environmental resilience.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1.0,CHR0012,Javier,Cruz,Javier Cruz,JAV,M,1996,Mexican,christian,60,56,human,175,72,Charming improviser with strong creativity and a taste for calculated danger.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1.0,CHR0013,Mei,Chen,Mei Chen,MEI,F,1985,Chinese,buddhist,53,60,human,163,55,"Methodical strategist with exceptional memory, discipline, and foresight.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1.0,CHR0014,Aiden,Murphy,Aiden Murphy,AID,M,2003,Irish,atheist,36,63,human,183,80,Energetic young athlete with elite speed but inconsistent discipline.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1.0,CHR0015,Fatima,Zahra,Fatima Zahra,FAT,F,1991,Moroccan,muslim,57,88,human,170,63,"Principled diplomat with strong faith, empathy, and conversational skill.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1.0,CHR0016,Darius,Cole,Darius Cole,DAR,M,1988,American,christian,72,44,human,193,103,"Imposing enforcer with high strength, loyalty, and tactical discipline.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1.0,CHR0017,Elena,Varga,Elena Varga,ELE,F,1994,Hungarian,atheist,49,31,human,176,66,Clever political operator with exceptional deception and social perception.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1.0,CHR0018,Tenzin,Dorje,Tenzin Dorje,TEN,M,1979,Tibetan,buddhist,34,96,human,171,65,Patient spiritual mentor with outstanding composure and emotional insight.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1.0,CHR0019,Zara,Khan,Zara Khan,ZAR,F,2002,British,muslim,29,69,human,167,58,"Quick-learning scout with strong perception, agility, and adaptability.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1.0,CHR0020,Lukasz,Dlugosz,Lukasz,LDZ,M,1997,Poland,christian,64,79,human,185,75,"Experienced field leader combining athleticism, creativity, and teamwork.",66,71,73,68,78,82,72,75,72,76,75,79,71,78,77,67,72,94,89,68,83,66,76,82,78,81,71,70,72,60,66,34,59,47
